"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 09:25:11 GMT 2022","Tue Jun 28 09:25:11 GMT 2022","126","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Tue Jun 28 09:25:01 GMT 2022","Tue Jun 28 09:25:03 GMT 2022","2320","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
"passed","Tue Jun 28 09:25:08 GMT 2022","Tue Jun 28 09:25:11 GMT 2022","2445","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"passed","Tue Jun 28 09:24:57 GMT 2022","Tue Jun 28 09:25:01 GMT 2022","3999","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"failed","Tue Jun 28 09:25:11 GMT 2022","Tue Jun 28 09:25:11 GMT 2022","2","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"failed","Tue Jun 28 09:25:12 GMT 2022","Tue Jun 28 09:25:12 GMT 2022","1","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Tue Jun 28 09:25:11 GMT 2022","Tue Jun 28 09:25:12 GMT 2022","292","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"failed","Tue Jun 28 09:25:12 GMT 2022","Tue Jun 28 09:25:12 GMT 2022","0","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 09:25:06 GMT 2022","Tue Jun 28 09:25:08 GMT 2022","2483","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"passed","Tue Jun 28 09:25:03 GMT 2022","Tue Jun 28 09:25:06 GMT 2022","2722","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
